id;kullanici_id;yontem;baslangic_zamani;bitis_zamani;sure_ms;sonuc;deger
5;1;hardware;2024-12-17 04:36:58.981219;2024-12-17 04:36:59.263453;282;1;
6;1;hardware;2024-12-17 04:37:21.129648;2024-12-17 04:37:21.272296;142;1;
7;1;hardware;2024-12-17 04:38:24.330878;2024-12-17 04:38:25.580790;1249;1;
8;1;hardware;2024-12-17 04:38:24.330878;2024-12-17 04:38:25.582807;1251;1;
9;1;hardware;2024-12-17 04:39:15.903557;2024-12-17 04:39:16.127830;224;1;
10;1;hardware;2024-12-17 04:39:22.547542;2024-12-17 04:39:22.686849;139;1;
12;1;hardware;2024-12-17 04:41:37.943897;2024-12-17 04:41:38.219683;275;1;
13;1;hardware;2024-12-17 04:41:49.832561;2024-12-17 04:41:49.877201;44;0;
14;1;hardware;2024-12-17 10:43:32.412908;2024-12-17 10:43:32.806875;393;1;
15;1;hardware;2024-12-18 22:10:59.697272;2024-12-18 22:10:59.738434;41;0;
16;1;hardware;2024-12-19 00:47:46.885447;2024-12-19 00:47:47.279241;393;1;
17;1;email;2024-12-19 00:48:33.967009;2024-12-19 00:48:52.465322;18498;1;
23;1;email;2024-12-19 00:55:56.524372;2024-12-19 00:56:22.245353;25720;1;
32;1;email;2024-12-19 01:13:27.387100;2024-12-19 01:13:37.477903;10090;1;
33;1;email;2024-12-19 01:13:48.213495;2024-12-19 01:14:02.178948;13965;0;
34;1;email;2024-12-19 01:18:36.132200;2024-12-19 01:18:53.697027;17564;1;
37;1;email;2024-12-19 01:45:07.931503;2024-12-19 01:45:21.054575;13123;1;
38;1;email;2024-12-19 01:46:06.035134;2024-12-19 01:46:17.576919;11541;1;
39;1;email;2024-12-19 01:48:06.271542;2024-12-19 01:48:22.884384;16612;1;
40;1;email;2024-12-19 01:48:39.902998;2024-12-19 01:48:54.148804;14245;1;
41;1;email;2024-12-19 01:49:03.772862;2024-12-19 01:49:15.914676;12141;0;
42;1;email;2024-12-19 01:49:03.772862;2024-12-19 01:49:28.129879;24357;1;
43;1;email;2024-12-19 02:43:28.004617;2024-12-19 02:43:32.184348;4179;1;
44;1;push;2024-12-19 02:45:52.050269;2024-12-19 02:45:58.445764;6395;1;
45;1;push;2024-12-19 02:49:52.816532;2024-12-19 02:52:28.997880;156181;1;
46;1;push;2024-12-19 02:52:38.290187;2024-12-19 02:52:42.939602;4649;1;
47;1;push;2024-12-19 02:52:49.012709;2024-12-19 02:52:53.221375;4208;0;
55;1;sms;2024-12-19 15:38:35.220739;2024-12-19 15:38:50.164648;14943;1;
